Designator,Mid X,Mid Y,Rotation,Layer
C1,123.99,-91.22,180.0,top
C10,122.87,-98.49,270.0,top
C11,117.285,-93.94,0.0,top
C12,117.285,-99.61,180.0,top
C13,134.4,-105.93,0.0,top
C14,137.49,-94.23,90.0,top
C15,140.53,-98.9,180.0,top
C16,140.555,-101.025,180.0,top
C17,139.85,-104.9125,270.0,top
C18,143.12,-108.31,0.0,top
C19,146.7568,-110.467,0.0,top
C2,126.4988,-91.301,0.0,top
C20,146.7582,-112.4438,0.0,top
C21,128.39,-89.9,0.0,top
C22,132.99,-86.75,90.0,top
C23,130.73,-89.88,0.0,top
C24,131.495,-83.25,0.0,top
C25,116.115,-109.385,180.0,top
C26,119.715,-107.39,90.0,top
C27,117.94,-109.385,0.0,top
C28,118.13,-115.305,0.0,top
C29,115.93,-111.955,270.0,top
C3,122.865,-95.238,270.0,top
C30,123.6325,-87.4075,0.0,top
C31,125.4575,-87.4075,180.0,top
C4,127.083,-105.6774,180.0,top
C5,135.11,-104.74,0.0,top
C6,136.29,-93.415,90.0,top
C7,122.8666,-102.2738,270.0,top
C8,122.8666,-100.445,90.0,top
C9,120.6822,-102.3754,0.0,top
D1,137.7826,-86.4742,180.0,top
D2,147.13,-99.2475,90.0,top
D3,136.53,-110.68,0.0,top
F1,144.83,-100.11,270.0,top
FB1,120.6568,-100.8006,180.0,top
FB2,142.88,-99.975,270.0,top
J1,111.18,-92.01,0.0,top
J2,151.025,-105.08,90.0,top
J3,125.14,-118.0,270.0,top
J4,111.13,-104.04,180.0,top
J5,137.15,-117.94,90.0,top
J6,131.36,-78.0,270.0,top
J7,151.89,-91.46,90.0,top
L1,142.43,-111.61,270.0,top
Q1,145.7,-105.2625,90.0,top
R1,118.0,-88.81,0.0,top
R2,129.12,-81.83,270.0,top
R3,127.65,-81.83,270.0,top
R4,137.755,-85.0,180.0,top
R5,131.39,-110.54,270.0,top
R6,128.03,-108.35,0.0,top
R7,136.5245,-112.14,0.0,top
S1,144.14,-85.13,0.0,top
S2,118.15,-85.13,0.0,top
U1,130.04,-98.49,270.0,top
U2,142.2875,-105.2875,90.0,top
U3,144.33,-91.79,270.0,top
U4,129.8125,-86.6425,0.0,top
U5,117.19,-106.86,0.0,top
U6,118.355,-112.53,270.0,top
U7,126.8,-111.83,270.0,top
U8,124.575,-85.65,90.0,top
Y1,117.2942,-96.77,270.0,top
