Designator,Mid X,Mid Y,Rotation,Layer
C1,26.7,36.646698,180,top
C10,25.6,29.196698,270,top
C11,20.95,33.746698,0,top
C12,21.15,27.746698,180,top
C13,36.975,20.746698,270,top
C14,41.6,32.596698,0,top
C15,47.9,28.896698,90,top
C16,47.9,25.796698,90,top
C17,45.2,20.946698,270,top
C18,49,17.846698,0,top
C19,51.5,14.996698,0,top
C2,29.355,21.546698,180,top
C20,51.5,12.596698,0,top
C21,23.075,41.746698,180,top
C22,27.575,44.316698,90,top
C23,25.075,41.746698,0,top
C24,25.575,48.346698,0,top
C25,11.921,18.328698,180,top
C26,15.875,20.746698,90,top
C27,13.953,18.328698,0,top
C28,12.975,11.846698,0,top
C29,11.075,15.166698,270,top
C3,39.6,34.596698,90,top
C30,31.45,43.546698,0,top
C31,33.45,43.546698,180,top
C4,25.6,33.616698,90,top
C5,29.475,36.596698,0,top
C6,38.6,23.096698,0,top
C7,25.6,27.116698,90,top
C8,25.575,25.146698,270,top
C9,22.475,23.846698,0,top
D1,17.3,48.371698,270,top
D2,54.4,27.296698,90,top
D3,14.7,48.371698,270,top
F1,51.875,26.621698,270,top
FB1,22.975,25.246698,180,top
FB2,49.7,26.071698,270,top
L1,47.1,14.296698,270,top
Q1,52,20.896698,90,top
R1,14.7,34.730698,90,top
R2,37.275,43.046698,180,top
R3,34.475,41.446698,0,top
R4,19,48.371698,270,top
R5,28.575,14.746698,90,top
R6,28.575,18.146698,270,top
R7,12.9,48.371698,270,top
S1,8.975,40.896698,0,top
S2,8.975,34.246698,0,top
U1,33.1,29.096698,270,top
U2,48.1,20.846698,90,top
U3,51.9,34.646698,270,top
U4,24.025,45.096698,0,top
U5,13.175,21.146698,0,top
U6,13.399,14.526198,270,top
U7,23.3375,14.296698,270,top
U8,32.45,45.546698,90,top
Y1,21.072,30.745698,270,top
